book_id,isbn,isbn13,authors,original_publication_year,original_title,title,average_rating
684,1423146727,9781423146730,Rick Riordan,2013,The House of Hades,"The House of Hades (The Heroes of Olympus, #4)",4.54
685,61448761,9780061448770,Michael  Grant,2008,Gone,"Gone (Gone, #1)",3.85
686,446615862,9780446615860,Nicholas Sparks,2003,The Wedding,"The Wedding (The Notebook, #2)",3.98
687,743226720,9780743226720,David McCullough,2005,1776,1776,4.06
688,330419129,9780330419120,Jon Krakauer,2003,Under the Banner of Heaven: A Story of Violent Faith,Under the Banner of Heaven: A Story of Violent Faith,3.98
689,61928127,9780061928120,Jess Walter,2012,Beautiful Ruins,Beautiful Ruins,3.67
690,307237699,9780307237700,Barack Obama,2006,The Audacity of Hope: Thoughts on Reclaiming the American Dream,The Audacity of Hope: Thoughts on Reclaiming the American Dream,3.69
691,743455967,9780743455960,Stephen King,1999,On Writing: A Memoir of the Craft,On Writing: A Memoir of the Craft,4.31
692,312364083,9780312364080,Kristin Hannah,2008,Firefly Lane,"Firefly Lane (Firefly Lane, #1)",4.04
693,345418972,9780345418980,Michael Crichton,1987,Sphere,Sphere,3.77
694,312348673,9780312348670,Emily Giffin,2008,Love the One You're With,Love the One You're With,3.7
695,316206873,9780316206880,"Robert Galbraith, J.K. Rowling",2014,The Silkworm,"The Silkworm (Cormoran Strike, #2)",4.03
696,345476883,9780345476880,Anne Rice,1985,The Vampire Lestat,"The Vampire Lestat (The Vampire Chronicles, #2)",4.05
697,62049801,9780062049800,Ann Patchett,2011,State of Wonder,State of Wonder,3.85
698,374533571,9780374533570,Matthew Quick,2008,The Silver Linings Playbook,The Silver Linings Playbook,4.0
699,076072850X,9780760728500,"Jules Verne, Anthony Bonner",1869,Vingt Mille Lieues Sous les Mers,Twenty Thousand Leagues Under the Sea,3.86
700,743272498,9780743272490,Philippa Gregory,2005,The Constant Princess,"The Constant Princess (The Plantagenet and Tudor Novels, #6)",3.88
701,151009988,9780151009980,"Virginia Woolf, Maureen Howard",1925,Mrs Dalloway,Mrs. Dalloway,3.78
702,1843913720,9781843913730,"Jonas Jonasson, Rod Bradbury",2009,Hundraåringen som klev ut genom fönstret och försvann,The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,3.81
703,067102423X,9780671024240,Stephen King,1998,Bag of Bones,Bag of Bones,3.87
704,786226749,9780786226740,John Irving,1985,The Cider House Rules,The Cider House Rules,4.1
705,451190750,9780451190760,"Richard Bachman, Stephen King",1984,Thinner,Thinner,3.66
706,014044906X,9780140449070,"Jules Verne, Michael Glencross, Brian W. Aldiss",1872,Le tour du monde en quatre-vingts jours,Around the World in Eighty Days,3.9
707,60739495,9780060739490,Sharon Creech,1994,Walk Two Moons,Walk Two Moons,3.95
708,60589280,9780060589290,"Paulo Coelho, Margaret Jull Costa",2003,Onze minutos,Eleven Minutes,3.69
709,316767727,9780316767730,J.D. Salinger,1953,Nine Stories,Nine Stories,4.19
710,031610969X,9780316109700,Julie Powell,2005,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen","Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen: How One Girl Risked Her Marriage, Her Job, and Her Sanity to Master the Art of Living",3.67
711,1416912045,9781416912040,Neal Shusterman,2007,Unwind,"Unwind (Unwind, #1)",4.18
712,385335989,9780385335980,Diana Gabaldon,1996,"Drums of Autumn (Outlander, #4)","Drums of Autumn (Outlander, #4)",4.34
713,399256768,9780399256770,Marie Lu,2013,Prodigy,"Prodigy (Legend, #2)",4.29
714,074348276X,9780743482770,William Shakespeare,1603,The Tragedie of King Lear,King Lear,3.89
715,435233076,9780435233080,Arthur Miller,1949,Death of a Salesman,Death of a Salesman,3.49
716,446579920,9780446579930,Nicholas Sparks,2007,The Choice,The Choice,3.99
719,452287588,9780452287590,Eckhart Tolle,2005,A New Earth: Awakening to Your Life's Purpose,A New Earth: Awakening to Your Life's Purpose,4.02
720,1591164419,9781591164420,Tite Kubo,2002,BLEACH―ブリーチ―　1,"Bleach, Volume 01",4.21
722,812513738,9780812513740,Robert Jordan,1992,The Shadow Rising ,"The Shadow Rising (Wheel of Time, #4)",4.21
723,192076920X,9781920769210,Gregory David Roberts,2003,Shantaram,Shantaram,4.26
724,441015891,9780441015890,Charlaine Harris,2008,From Dead to Worse,"From Dead to Worse (Sookie Stackhouse, #8)",4.01
725,670032565,9780670032560,"Stephen King, Ned Dameron",1991,The Waste Lands,"The Waste Lands (The Dark Tower, #3)",4.24
726,451188454,9780451188460,Jeffery Deaver,1997,The Bone Collector,"The Bone Collector (Lincoln Rhyme, #1)",4.18
727,375408266,9780375408270,"Bernhard Schlink, Carol Brown Janeway",1995,Der Vorleser,The Reader,3.73
728,805047905,9780805047900,"Bill Martin Jr., Eric Carle",1967,"Brown Bear, Brown Bear, What Do You See?","Brown Bear, Brown Bear, What Do You See?",4.19
729,553283685,9780553283690,Dan Simmons,1989,Hyperion,"Hyperion (Hyperion Cantos, #1)",4.21
730,142000698,9780142000690,John Steinbeck,1947,The Pearl of the World,The Pearl,3.41
731,61007226,9780061007220,William Peter Blatty,1971,The Exorcist,The Exorcist,4.14
732,031612558X,9780316125580,Stephenie Meyer,2009,The Short Second Life of Bree Tanner,"The Short Second Life of Bree Tanner: An Eclipse Novella (Twilight, #3.5)",3.51
733,067976402X,9780679764020,David Guterson,1994,Snow Falling on Cedars,Snow Falling on Cedars,3.8
734,440174643,9780440174650,Alex Haley,1976,Roots,Roots: The Saga of an American Family,4.42
735,930289455,9780930289450,"Alan Moore, Brian Bolland, Tim Sale",1988,Batman: The Killing Joke ,Batman: The Killing Joke,4.36
736,679732764,9780679732760,Ralph Ellison,1952,Invisible Man,Invisible Man,3.84
737,374105235,9780374105240,Ishmael Beah,2007,A Long Way Gone. Memoirs of a Boy Soldier,A Long Way Gone: Memoirs of a Boy Soldier,4.14
738,689862202,9780689862200,Robert C. O'Brien,1971,Mrs. Frisby and the Rats of NIMH,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",4.13
739,751514624,9780751514630,Stephen King,1982,Different Seasons,Different Seasons,4.34
740,60529962,9780060529960,"Laura Ingalls Wilder, Garth Williams",1953,The Little House Collection,"The Little House Collection (Little House, #1-9)",4.33
741,143035479,9780143035470,Melissa Bank,1998,The Girls' Guide to Hunting and Fishing,The Girls' Guide to Hunting and Fishing,3.29
743,380813815,9780380813810,Christopher Moore,2002,"Lamb: The Gospel According to Biff, Christ's Childhood Pal","Lamb: The Gospel According to Biff, Christ's Childhood Pal",4.26
744,1577314808,9781577314810,Eckhart Tolle,1997,The Power of Now,The Power of Now: A Guide to Spiritual Enlightenment,4.1
745,399159010,9780399159020,Jenny  Lawson,2012,Let's Pretend This Never Happened (A Mostly True Memoir),Let's Pretend This Never Happened: A Mostly True Memoir,3.9
746,553804677,9780553804680,Scott Lynch,2006,The Lies of Locke Lamora,"The Lies of Locke Lamora (Gentleman Bastard, #1)",4.3
747,64471837,9780064471830,Garth Nix,1995,Sabriel,"Sabriel (Abhorsen,  #1)",4.17
748,441017150,9780441017160,Charlaine Harris,2009,Dead and Gone,"Dead and Gone (Sookie Stackhouse, #9)",4.01
749,1439102767,9781439102760,Jodi Picoult,2013,The Storyteller,The Storyteller,4.26
750,1620610078,9781620610080,Jennifer L. Armentrout,2011,Obsidian,"Obsidian (Lux, #1)",4.23
751,345418905,9780345418910,Douglas Adams,1982,"Life, the Universe and Everything","Life, the Universe and Everything (Hitchhiker's Guide, #3)",4.19
752,1619630621,9781619630630,Sarah J. Maas,2013,Crown of Midnight,"Crown of Midnight (Throne of Glass, #2)",4.49
753,1932664084,9781932664090,Bryan Lee O'Malley,2004,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life","Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",4.18
754,1416586288,9781416586290,Jeannette Walls,2008,Half Broke Horses: A True Life Novel,Half Broke Horses,4.05
755,61020680,9780061020680,Terry Pratchett,1987,Mort,"Mort (Death, #1; Discworld, #4)",4.22
756,373210086,9780373210080,Julie Kagawa,2010,"The Iron King (The Iron Fey, #1) ","The Iron King (The Iron Fey, #1)",3.92
757,067168390X,9780671683900,Larry McMurtry,1985,Lonesome Dove,Lonesome Dove,4.47
758,393324826,9780393324820,Mary Roach,2003,Stiff: The Curious Lives of Human Cadavers,Stiff: The Curious Lives of Human Cadavers,4.05
759,1595143173,9781595143170,Richelle Mead,2011,Bloodlines,"Bloodlines (Bloodlines, #1)",4.22
760,765342405,9780765342410,Orson Scott Card,1998,Ender's Shadow,"Ender's Shadow (Ender's Shadow, #1)",4.3
761,385342020,9780385342020,Sophie Kinsella,2009,Twenties Girl,Twenties Girl,3.82
762,340606517,9780340606510,Thomas Keneally,1982,Schindler's Ark,Schindler's List,4.34
763,452287065,9780452287070,Toni Morrison,1970,The Bluest Eye,The Bluest Eye,3.99
764,1416563687,9781416563690,Philippa Gregory,2009,The White Queen,"The White Queen (The Plantagenet and Tudor Novels, #2)",3.9
765,345350685,9780345350690,"Malcolm X, Alex Haley",1965,The Autobiography of Malcolm X,The Autobiography of Malcolm X,4.29
766,1563892278,9781563892270,"Neil Gaiman, Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger",1989,Preludes & Nocturnes,Preludes & Nocturnes (The Sandman #1),4.3
767,345465083,9780345465080,Laura Hillenbrand,1999,Seabiscuit,Seabiscuit: An American Legend,4.2
768,038073186X,9780380731860,Dennis Lehane,2003,Shutter Island,Shutter Island,4.07
769,553328255,9780553328260,Arthur Conan Doyle,1894,The Complete Sherlock Holmes,The Complete Sherlock Holmes,4.5
770,198320272,9780198320270,"William Shakespeare, Roma Gill",1599,The Tragedy of Julius Caesar,Julius Caesar,3.65
771,307408841,9780307408850,Erik Larson,2011,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin","In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",3.81
772,140449140,9780140449140,"Plato, Desmond Lee",-380,Πολιτεία,The Republic,3.9
773,074347757X,9780743477570,William Shakespeare,1593,The Taming of the Shrew,The Taming of the Shrew,3.81
774,312642970,9780312642980,Marissa Meyer,2014,Cress,"Cress (The Lunar Chronicles, #3)",4.46
775,006621131X,9780066211310,Patti Smith,2010,Just Kids,Just Kids,4.14
777,767905180,9780767905180,Jane Green,2001,Jemima J,Jemima J,3.62
778,451527887,9780451527880,"Victor Hugo, Walter J. Cobb",1831,Notre-Dame de Paris,The Hunchback of Notre-Dame,3.97
779,140003065X,9781400030650,Rohinton Mistry,1996,A Fine Balance,A Fine Balance,4.34
780,836220889,9780836220890,"Bill Watterson, G.B. Trudeau",1987,Calvin and Hobbes,Calvin and Hobbes,4.61
781,689865406,9780689865400,Scott Westerfeld,2006,Specials,"Specials (Uglies, #3)",3.77
782,543898083,9780543898080,Kate Chopin,1899,The Awakening,The Awakening,3.63
783,031237982X,9780312379830,"P.C. Cast, Kristin Cast",2009,Hunted,"Hunted (House of Night, #5)",3.93
784,1401303277,9781401303270,Mitch Albom,2006,For One More Day,For One More Day,4.09
785,425144372,9780425144370,Tom Clancy,1989,Clear and Present Danger,"Clear and Present Danger (Jack Ryan Universe, #6)",4.08
786,60513098,9780060513090,Shel Silverstein,1996,Falling Up,Falling Up,4.33
787,61992704,9780061992700,Justin Halpern,2010,Sh*t My Dad Says,Sh*t My Dad Says,3.98
788,2020336464,9782020336470,"Irvine Welsh, Eric Lindor Fall",1993,Trainspotting,Trainspotting,4.07
789,553803727,9780553803720,Isaac Asimov,1952,Foundation and Empire,Foundation and Empire (Foundation #2),4.2
790,1878424505,9781878424500,Miguel Ruiz,1997,"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",The Four Agreements: A Practical Guide to Personal Freedom,4.12
791,743296435,9780743296430,Jodi Picoult,2010,House Rules,House Rules,4.01
792,394709306,9780394709310,"Jacob Grimm, Wilhelm Grimm, Josef Scharl, Padraic Colum, Joseph Campbell, Margaret Raine Hunt, James Stern",1812,Brüder Grimm: Kinder- und Hausmärchen,The Complete Grimm's Fairy Tales,4.31
793,744583276,9780744583270,E.L. Konigsburg,1967,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,4.15
794,1476727651,9781476727650,Stephen King,2013,Doctor Sleep,"Doctor Sleep (The Shining, #2)",4.1
795,140285679,9780140285670,Nick Hornby,1998,About a Boy,About a Boy,3.79
797,1434768511,9781434768510,"Francis Chan, Danae Yankoski, Chris Tomlin",2008,Crazy Love: Overwhelmed by a Relentless God,Crazy Love: Overwhelmed by a Relentless God,4.15
798,7173687,9780007173690,Dr. Seuss,1960,"One Fish, Two Fish, Red Fish, Blue Fish","One Fish, Two Fish, Red Fish, Blue Fish",4.12
800,553213873,9780553213870,Helen Keller,1902,The Story of My Life,The Story of My Life,4.07
801,052595127X,9780525951280,Jonathan Tropper,2009,This Is Where I Leave You,This is Where I Leave You,3.88
802,446563080,9780446563090,Seth Grahame-Smith,2010,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,3.7
803,1591826039,9781591826030,"Natsuki Takaya, Alethea Nibley, Athena Nibley",1999,フルーツバスケット 1,"Fruits Basket, Vol. 1",4.23
804,743482832,9780743482840,William Shakespeare,1623,The Tempest,The Tempest,3.8
805,1905654944,9781905654950,"P.C. Cast, Kristin Cast",2010,Burned: A House of Night Novel,"Burned (House of Night, #7)",3.98
806,340829788,9780340829780,"Stephen King, Dave McKean",1997,Wizard and Glass,"Wizard and Glass (The Dark Tower, #4)",4.24
807,385351399,9780385351390,Dave Eggers,2013,The Circle,The Circle,3.46
808,439813786,9780439813780,Brian Selznick,2007,The Invention of Hugo Cabret,The Invention of Hugo Cabret,4.23
809,60776099,9780060776090,"Aldous Huxley, Christopher Hitchens",1932,Brave New World/Brave New World Revisited,Brave New World / Brave New World Revisited,4.16
810,1591169151,9781591169150,Bisco Hatori,2003,桜蘭高校ホスト部 1,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club, #1)",4.36
811,778316556,9780778316560,Mary Kubica,2014,The Good Girl,The Good Girl,3.81
813,1250049377,9781250049380,Rainbow Rowell,2014,Landline,Landline,3.55
814,1905654588,9781905654580,"P.C. Cast, Kristin Cast",2008,Tempted,"Tempted (House of Night, #6)",3.96
815,375706674,9780375706680,Cormac McCarthy,2005,No Country for Old Men,No Country for Old Men,4.12
816,7230206,9780007230200,Hilary Mantel,2009,Wolf Hall,"Wolf Hall (Thomas Cromwell, #1)",3.85
817,006441034X,9780064410340,Diana Wynne Jones,1986,Howl's Moving Castle,"Howl's Moving Castle (Howl's Moving Castle, #1)",4.3
818,2226131906,9782226131900,"Stephen King, William Olivier Desmond",2001,Dreamcatcher,Dreamcatcher,3.59
819,691096120,9780691096120,Henry David Thoreau,1854,Walden; or Life in the Woods,Walden,3.79
820,571225381,9780571225380,Kazuo Ishiguro,1989,The Remains of the Day,The Remains of the Day,4.1
821,446547654,9780446547660,Nicholas Sparks,2010,The Best of Me,The Best of Me,3.91
822,224094157,9780224094150,Julian Barnes,2011,The Sense of an Ending,The Sense of an Ending,3.7
823,312938993,9780312938990,Sue Grafton,1982,A is for Alibi,"A is for Alibi (Kinsey Millhone, #1)",3.82
824,1580495931,9781580495940,"Sophocles, J.E. Thomas",-430,Οἰδίπους Τύραννος,"Oedipus Rex  (The Theban Plays, #1)",3.67
825,1400067111,9781400067110,Lisa See,2009,Shanghai Girls,Shanghai Girls (Shanghai Girls #1),3.87
826,143039091,9780143039100,"Kenneth Grahame, Gillian Avery",1908,The Wind in the Willows,The Wind in the Willows,3.98
828,037571457X,9780375714570,"Marjane Satrapi, Mattias Ripa",2000,Persepolis,"Persepolis: The Story of a Childhood (Persepolis, #1)",4.23
829,1420925431,9781420925430,E.M. Forster,1908,A Room with a View,A Room with a View,3.91
830,316084239,9780316084240,Kody Keplinger,2010,The DUFF: Designated Ugly Fat Friend,The DUFF: Designated Ugly Fat Friend,3.86
831,067001088X,9780670010880,Sarah Dessen,2008,Lock and Key,Lock and Key,4.01
832,399151575,9780399151580,J.D. Robb,1995,Naked in Death,"Naked in Death (In Death, #1)",4.13
833,385339666,9780385339670,John Grisham,1994,The Chamber,The Chamber,3.76
835,1569319006,9781569319000,"Masashi Kishimoto, Katy Bridges",1999,NARUTO -ナルト- 巻ノ一 ,"Naruto, Vol. 01: The Tests of the Ninja (Naruto, #1)",4.35
836,812993292,9780812993300,Rachel Joyce,2012,The Unlikely Pilgrimage of Harold Fry,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",3.89
837,307931889,9780307931890,David Levithan,2012,Every Day,"Every Day (Every Day, #1)",3.99
838,312861877,9780312861870,Orson Scott Card,1991,Xenocide,"Xenocide (Ender's Saga, #3)",3.77
839,743477561,9780743477570,"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",1596,The Merchant of Venice,The Merchant of Venice,3.78
840,440178002,9780440178000,James Clavell,1975,Shōgun,"Shōgun (Asian Saga, #1)",4.37
841,451219368,9780451219370,J.R. Ward,2006,"Lover Awakened (Black Dagger Brotherhood, #3)","Lover Awakened (Black Dagger Brotherhood, #3)",4.45
842,1619634449,9781619634440,Sarah J. Maas,2015,A Court of Thorns and Roses,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",4.29
844,068983568X,9780689835680,"Bill Martin Jr., John Archambault, Lois Ehlert",1989,Chicka Chicka Boom Boom,Chicka Chicka Boom Boom,4.21
845,545132053,9780545132050,Raina Telgemeier,2009,Smile,Smile,4.19
846,151010269,9780151010260,"George Orwell, Christopher Hitchens",1950, Animal Farm & 1984,Animal Farm / 1984,4.26
847,140286276,9780140286270,Jacquelyn Mitchard,1996,The Deep End of the Ocean,"The Deep End of the Ocean (Cappadora Family, #1)",3.84
848,345457374,9780345457370,Amy Tan,2001,The Bonesetter's Daughter,The Bonesetter's Daughter,3.98
849,60288140,9780060288140,Louise Rennison,1999,"Angus, Thongs and Full-Frontal Snogging","Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",3.74
850,374214913,9780374214910,Robin Sloan,2012,Mr. Penumbra's 24-Hour Bookstore,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",3.75
851,743496310,9780743496320,V.C. Andrews,1979,Flowers in the Attic,"Flowers in the Attic (Dollanganger, #1)",3.79
853,590452037,9780590452040,Jerry Spinelli,1990,Maniac Magee,Maniac Magee,3.86
854,99285444,9780099285440,Chuck Palahniuk,1999,Invisible Monsters,Invisible Monsters,4.0
855,743482778,9780743482780,William Shakespeare,1601,"Twelfth Night; or, What You Will",Twelfth Night,3.97
856,385732562,9780385732570,Lois Lowry,2000,Gathering Blue,"Gathering Blue (The Giver, #2)",3.8
857,014240120X,9780142401200,Ellen Raskin,1978,The Westing Game,The Westing Game,4.03
858,345539788,9780345539790,Pierce Brown,2014,Red Rising,"Red Rising (Red Rising, #1)",4.26
859,316033677,9780316033670,Brent Weeks,2008,The Way of Shadows,"The Way of Shadows (Night Angel, #1)",4.15
860,812474945,9780812474950,Barbara Kingsolver,1988,The Bean Trees,"The Bean Trees (Greer Family, #1)",3.94
861,1476712980,9781476712990,Jamie McGuire,2013,Walking Disaster,"Walking Disaster (Beautiful, #2)",4.23
862,765326361,9780765326360,Brandon Sanderson,2014,Words of Radiance,"Words of Radiance (The Stormlight Archive, #2)",4.77
863,076360013X,9780763600140,"Sam McBratney, Anita Jeram",1988,Guess How Much I Love You,Guess How Much I Love You,4.36
864,440221668,9780440221660,Diana Gabaldon,2001,The Fiery Cross,"The Fiery Cross (Outlander, #5)",4.26
865,450042685,9780450042680,"Stephen King, John D. MacDonald",1978,Night Shift,Night Shift,3.96
866,1400064562,9781400064560,Peter Benchley,1974,Jaws,Jaws,3.96
867,393328627,9780393328620,Nicole Krauss,2005,The History of Love,The History of Love,3.91
868,142402494,9780142402500,"Astrid Lindgren, Lauren Child, Florence Lamborn, Nancy Seligsohn",1945,Pippi Långstrump,Pippi Longstocking,4.11
869,1933372605,9781933372600,"Muriel Barbery, Alison Anderson",2006,L'élégance du hérisson,The Elegance of the Hedgehog,3.73
870,743270754,9780743270760,"Doris Kearns Goodwin, Suzanne Toren",2005,Team of Rivals: The Political Genius of Abraham Lincoln,Team of Rivals: The Political Genius of Abraham Lincoln,4.3
871,441018645,9780441018640,Charlaine Harris,2010,Dead in the Family,"Dead in the Family (Sookie Stackhouse, #10)",3.88
872,679720219,9780679720220,"Albert Camus, Stuart Gilbert",1947,La peste,The Plague,3.97
873,439206480,9780439206490,"Lemony Snicket, Brett Helquist",1999,The Reptile Room,"The Reptile Room (A Series of Unfortunate Events, #2)",3.95
874,145162137X,9781451621370,Susannah Cahalan,2012,Brain on Fire,Brain on Fire: My Month of Madness,4.0
875,61214655,9780061214650,Melissa Marr,2007,Wicked Lovely ,"Wicked Lovely (Wicked Lovely, #1)",3.69
876,039515023X,9780395150240,H.A. Rey,1941,Curious George,Curious George,4.13
877,525457585,9780525457590,"Michael Ende, Ralph Manheim, Roswitha Quadflieg",1979,Die unendliche Geschichte,The Neverending Story,4.17
878,571212921,9780571212930,Sylvia Nasar,1998,A Beautiful Mind,A Beautiful Mind,4.12
879,1884365302,9781884365300,"Upton Sinclair, Earl Lee, Kathleen DeGrave",1906,The Jungle,The Jungle,3.72
880,61662690,9780061662690,Kelley Armstrong,2008,The Summoning,"The Summoning (Darkest Powers, #1)",4.03
881,684853949,9780684853950,Oliver Sacks,1985,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,4.04
882,006074815X,9780060748160,Ken Follett,1978,Storm Island,Eye of the Needle,4.16
883,1860498809,9781860498800,Margaret Atwood,2000,The Blind Assassin,The Blind Assassin,3.95
884,1594747350,9781594747360,Ransom Riggs,2014,Hollow City,"Hollow City (Miss Peregrine’s Peculiar Children, #2)",4.07
885,375727345,9780375727340,Andre Dubus III,1999,House of Sand and Fog,House of Sand and Fog,3.83
886,356500152,9780356500160,M.R. Carey,2014,The Girl with All the Gifts,The Girl with All the Gifts,3.93
887,067973225X,9780679732260,William Faulkner,1930,As I Lay Dying,As I Lay Dying,3.72
888,747532036,9780747532030,Crockett Johnson,1955,Harold and the Purple Crayon,Harold and the Purple Crayon,4.24
889,451218043,9780451218050,J.R. Ward,2006,"Lover Eternal (Black Dagger Brotherhood, #2)","Lover Eternal (Black Dagger Brotherhood, #2)",4.35
891,451458125,9780451458120,Jim Butcher,2001,Fool Moon ,"Fool Moon (The Dresden Files, #2)",4.04
892,316204366,9780316204360,Malcolm Gladwell,2011,David and Goliath,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",3.9
893,1591169208,9781591169210,"Hiromu Arakawa, Akira Watanabe",2002,鋼の錬金術師 1,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",4.49
894,61020648,9780061020640,Terry Pratchett,1989,Guards! Guards!,"Guards! Guards! (Discworld, #8)",4.32
895,1400078431,9781400078430,Joan Didion,2005,The Year of Magical Thinking,The Year of Magical Thinking,3.86
896,006112429X,9780061124300,Lionel Shriver,2003,We Need to Talk About Kevin,We Need to Talk About Kevin,4.07
897,1857231589,9781857231590,Arthur C. Clarke,1973,Rendezvous with Rama,"Rendezvous with Rama (Rama, #1)",4.06
898,345419626,9780345419620,Anne Rice,1988,The Queen of the Damned,"The Queen of the Damned (The Vampire Chronicles, #3)",3.86
899,159308143X,9781593081430,"Edith Wharton, Maureen Howard",1920,The Age of Innocence,The Age of Innocence,3.93
900,199291152,9780199291150,Richard Dawkins,1976,The Selfish Gene,The Selfish Gene,4.11
901,142001430,9780142001430,Geraldine Brooks,2001,Year of Wonders: A Novel of the Plague,Year of Wonders,4.0
902,446612731,9780446612740,Michael Connelly,1992,The Black Echo,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",4.08
903,452281253,9780452281260,Ayn Rand,1938,Anthem,Anthem,3.62
904,1936305623,9781936305630,Sylvain Reynard,2011,Gabriel's Inferno,"Gabriel's Inferno (Gabriel's Inferno, #1)",4.02
905,689707495,9780689707490,"Judi Barrett, Ron Barrett",1978,Cloudy with a Chance of Meatballs,Cloudy With a Chance of Meatballs,4.15
906,1400068932,9781400068940,Helen Simonson,2010,Major Pettigrew's Last Stand,Major Pettigrew's Last Stand,3.87
907,425227510,9780425227510,Nora Roberts,2009,Vision in White,"Vision in White (Bride Quartet, #1)",4.1
908,074349671X,9780743496710,Jodi Picoult,2006,The Tenth Circle,The Tenth Circle,3.48
909,1423140567,9781423140570,Rick Riordan,2011,The Throne of Fire,"The Throne of Fire (Kane Chronicles, #2)",4.2
910,765348276,9780765348270,John Scalzi,2005,Old Man's War,"Old Man's War (Old Man's War, #1)",4.23
911,831727527,9780831727530,Stephen King,1992,Gerald's Game,Gerald's Game,3.47
912,140255559,9780140255550,Janet Evanovich,1996,Two for the Dough,"Two for the Dough (Stephanie Plum, #2)",4.11
913,684818701,9780684818700,"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",1931,The Joy of Cooking,The Joy of Cooking,4.14
914,60510862,9780060510860,Joe Haldeman,1974,The Forever War,"The Forever War (The Forever War, #1)",4.15
915,8497597729,9788497597720,"Stephen King, Bettina Blanch Tyroller",1994,Insomnia,Insomnia,3.79
916,812971060,9780812971060,Azar Nafisi,2003,Reading Lolita in Tehran: A Memoir in Books,Reading Lolita in Tehran,3.57
917,575079797,9780575079790,Joe Abercrombie,2006,The Blade Itself,"The Blade Itself (The First Law, #1)",4.14
918,786851473,9780786851480,Eoin Colfer,2002,The Arctic Incident,"The Arctic Incident (Artemis Fowl, #2)",3.94
919,743225422,9780743225430,Annie Proulx,1993,The Shipping News,The Shipping News,3.83
920,1607747308,9781607747310,"Marie Kondō, Cathy Hirano",2011,人生がときめく片づけの魔法,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,3.77
921,385755880,9780385755890,"Jennifer Niven, فرانک معنوی",2015,All the Bright Places,All the Bright Places,4.19
922,671011367,9780671011370,Kathy Reichs,1997,Déjà Dead,"Déjà Dead (Temperance Brennan, #1)",3.86
923,552562521,9780552562520,Michael Scott,2007,The Alchemyst: The Secrets of The Immortal Nicholas Flamel,"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",3.84
924,374203059,9780374203050,Jeffrey Eugenides,2011,The Marriage Plot,The Marriage Plot,3.42
925,61120251,9780061120250,"Isabel Allende, Margaret Sayers Peden",1998,Hija de la fortuna,Daughter of Fortune,3.89
926,1476789630,9781476789640,Jessica Knoll,2015,Luckiest Girl Alive,Luckiest Girl Alive,3.48
927,689865198,9780689865190,Ellen Hopkins,2004,"Crank (Crank, #1)","Crank (Crank, #1)",4.16
928,545424925,9780545424930,Maggie Stiefvater,2012,The Raven Boys,"The Raven Boys (The Raven Cycle, #1)",4.05
929,031286504X,9780312865050,Richard Matheson,1954,I Am Legend and Other Stories,I Am Legend and Other Stories,3.99
930,140006208X,9781400062090,Elizabeth Strout,2008,Olive Kitteridge,Olive Kitteridge,3.78
931,081299499X,9780812995000,"Lena Dunham, Joana Avillez",2014,Not that Kind of Girl,"Not That Kind of Girl: A Young Woman Tells You What She's ""Learned""",3.33
932,66620996,9780066620990,James C. Collins,2001,Good to Great: Why Some Companies Make the Leap... and Others Don't,Good to Great: Why Some Companies Make the Leap... and Others Don't,4.04
933,803734611,9780803734620,Kristin Cashore,2009,Fire,"Fire (Graceling Realm, #2)",4.12
935,439236193,9780439236200,Jack London,1906,White Fang,White Fang,3.94
